run_id,protocol,mode,affinity,cpu,seed,batch,rounds,warmup_rounds,max_batch,warmup_ops,prime
54,naive,fixed,libre,,20260970,1,1,0,,0,clock
55,naive,fixed,libre,,20260971,1,1,0,,0,none
56,naive,fixed,libre,,20260972,1,1,0,,0,none
57,naive,fixed,libre,,20260973,1,1,0,,0,none
58,naive,fixed,libre,,20260974,1,1,0,,0,none
59,naive,fixed,libre,,20260975,1,1,0,,0,code
60,naive,fixed,libre,,20260976,1,1,0,,0,code
61,naive,fixed,libre,,20260977,1,1,0,,0,full
62,naive,fixed,libre,,20260978,1,1,0,,0,full
63,naive,fixed,libre,,20260979,1,1,0,,0,none
64,naive,fixed,libre,,20260980,1,1,0,,0,full
65,naive,fixed,libre,,20260981,1,1,0,,0,clock
66,naive,fixed,libre,,20260982,1,1,0,,0,none
67,naive,fixed,libre,,20260983,1,1,0,,0,clock
68,naive,fixed,libre,,20260984,1,1,0,,0,clock
69,naive,fixed,libre,,20260985,1,1,0,,0,full
70,naive,fixed,libre,,20260986,1,1,0,,0,clock
71,naive,fixed,libre,,20260987,1,1,0,,0,code
72,naive,fixed,libre,,20260988,1,1,0,,0,code
73,naive,fixed,libre,,20260989,1,1,0,,0,code
74,naive,fixed,libre,,20260990,1,1,0,,0,clock
75,naive,fixed,libre,,20260991,1,1,0,,0,full
76,naive,fixed,libre,,20260992,1,1,0,,0,none
77,naive,fixed,libre,,20260993,1,1,0,,0,clock
78,naive,fixed,libre,,20260994,1,1,0,,0,code
79,naive,fixed,libre,,20260995,1,1,0,,0,code
80,naive,fixed,libre,,20260996,1,1,0,,0,none
81,naive,fixed,libre,,20260997,1,1,0,,0,none
82,naive,fixed,libre,,20260998,1,1,0,,0,full
83,naive,fixed,libre,,20260999,1,1,0,,0,code
84,naive,fixed,libre,,20261000,1,1,0,,0,code
85,naive,fixed,libre,,20261001,1,1,0,,0,none
86,naive,fixed,libre,,20261002,1,1,0,,0,full
87,naive,fixed,libre,,20261003,1,1,0,,0,full
88,naive,fixed,libre,,20261004,1,1,0,,0,clock
89,naive,fixed,libre,,20261005,1,1,0,,0,full
90,naive,fixed,libre,,20261006,1,1,0,,0,none
91,naive,fixed,libre,,20261007,1,1,0,,0,code
92,naive,fixed,libre,,20261008,1,1,0,,0,clock
93,naive,fixed,libre,,20261009,1,1,0,,0,clock
94,naive,fixed,libre,,20261010,1,1,0,,0,code
95,naive,fixed,libre,,20261011,1,1,0,,0,full
96,naive,fixed,libre,,20261012,1,1,0,,0,code
97,naive,fixed,libre,,20261013,1,1,0,,0,none
98,naive,fixed,libre,,20261014,1,1,0,,0,full
99,naive,fixed,libre,,20261015,1,1,0,,0,none
100,naive,fixed,libre,,20261016,1,1,0,,0,code
101,naive,fixed,libre,,20261017,1,1,0,,0,full
102,naive,fixed,libre,,20261018,1,1,0,,0,code
103,naive,fixed,libre,,20261019,1,1,0,,0,code
104,naive,fixed,libre,,20261020,1,1,0,,0,clock
105,naive,fixed,libre,,20261021,1,1,0,,0,clock
106,naive,fixed,libre,,20261022,1,1,0,,0,full
107,naive,fixed,libre,,20261023,1,1,0,,0,none
108,naive,fixed,libre,,20261024,1,1,0,,0,full
109,naive,fixed,libre,,20261025,1,1,0,,0,clock
110,naive,fixed,libre,,20261026,1,1,0,,0,code
111,naive,fixed,libre,,20261027,1,1,0,,0,none
112,naive,fixed,libre,,20261028,1,1,0,,0,full
113,naive,fixed,libre,,20261029,1,1,0,,0,clock
114,naive,fixed,libre,,20261030,1,1,0,,0,code
115,naive,fixed,libre,,20261031,1,1,0,,0,full
116,naive,fixed,libre,,20261032,1,1,0,,0,none
117,naive,fixed,libre,,20261033,1,1,0,,0,none
118,naive,fixed,libre,,20261034,1,1,0,,0,full
119,naive,fixed,libre,,20261035,1,1,0,,0,clock
120,naive,fixed,libre,,20261036,1,1,0,,0,none
