run_id,protocol,mode,affinity,cpu,seed,batch,rounds,warmup_rounds,max_batch,warmup_ops
49,batched,fixed,libre,,20260965,20000,1,0,,0
50,interleaved,interleaved,P,11,20260966,20000,100,10,,0
51,batched,fixed,libre,,20260967,20000,1,0,,0
52,interleaved,interleaved,LP-E,21,20260968,20000,100,10,,0
53,naive,fixed,libre,,20260969,1,1,0,,0
54,interleaved,interleaved,libre,,20260970,20000,100,10,,0
55,interleaved,interleaved,P,11,20260971,20000,100,10,,0
56,naive,fixed,libre,,20260972,1,1,0,,0
57,interleaved,interleaved,LP-E,21,20260973,20000,100,10,,0
58,interleaved,interleaved,libre,,20260974,20000,100,10,,0
59,interleaved,interleaved,libre,,20260975,20000,100,10,,0
60,naive,fixed,libre,,20260976,1,1,0,,0
61,batched,fixed,libre,,20260977,20000,1,0,,0
62,interleaved,interleaved,libre,,20260978,20000,100,10,,0
63,batched,fixed,libre,,20260979,20000,1,0,,0
64,batched,fixed,libre,,20260980,20000,1,0,,0
65,naive,fixed,libre,,20260981,1,1,0,,0
66,naive,fixed,libre,,20260982,1,1,0,,0
67,interleaved,interleaved,libre,,20260983,20000,100,10,,0
68,interleaved,interleaved,P,11,20260984,20000,100,10,,0
69,batched,fixed,libre,,20260985,20000,1,0,,0
70,interleaved,interleaved,libre,,20260986,20000,100,10,,0
71,amortization,amortization,libre,,20260987,,40,0,32768,100000
72,interleaved,interleaved,LP-E,21,20260988,20000,100,10,,0
73,naive,fixed,libre,,20260989,1,1,0,,0
74,interleaved,interleaved,libre,,20260990,20000,100,10,,0
75,interleaved,interleaved,libre,,20260991,20000,100,10,,0
76,interleaved,interleaved,E,19,20260992,20000,100,10,,0
77,batched,fixed,libre,,20260993,20000,1,0,,0
78,naive,fixed,libre,,20260994,1,1,0,,0
79,interleaved,interleaved,libre,,20260995,20000,100,10,,0
80,batched,fixed,libre,,20260996,20000,1,0,,0
81,batched,fixed,libre,,20260997,20000,1,0,,0
82,amortization,amortization,libre,,20260998,,40,0,32768,100000
83,amortization,amortization,libre,,20260999,,40,0,32768,100000
84,interleaved,interleaved,libre,,20261000,20000,100,10,,0
85,interleaved,interleaved,E,19,20261001,20000,100,10,,0
86,batched,fixed,libre,,20261002,20000,1,0,,0
87,batched,fixed,libre,,20261003,20000,1,0,,0
88,interleaved,interleaved,E,19,20261004,20000,100,10,,0
89,interleaved,interleaved,libre,,20261005,20000,100,10,,0
90,interleaved,interleaved,libre,,20261006,20000,100,10,,0
91,interleaved,interleaved,libre,,20261007,20000,100,10,,0
92,interleaved,interleaved,P,11,20261008,20000,100,10,,0
93,amortization,amortization,libre,,20261009,,40,0,32768,100000
94,naive,fixed,libre,,20261010,1,1,0,,0
95,amortization,amortization,libre,,20261011,,40,0,32768,100000
96,amortization,amortization,libre,,20261012,,40,0,32768,100000
97,interleaved,interleaved,LP-E,21,20261013,20000,100,10,,0
98,naive,fixed,libre,,20261014,1,1,0,,0
99,naive,fixed,libre,,20261015,1,1,0,,0
100,interleaved,interleaved,LP-E,21,20261016,20000,100,10,,0
101,interleaved,interleaved,libre,,20261017,20000,100,10,,0
102,interleaved,interleaved,libre,,20261018,20000,100,10,,0
103,batched,fixed,libre,,20261019,20000,1,0,,0
104,interleaved,interleaved,LP-E,21,20261020,20000,100,10,,0
105,amortization,amortization,libre,,20261021,,40,0,32768,100000
106,batched,fixed,libre,,20261022,20000,1,0,,0
107,amortization,amortization,libre,,20261023,,40,0,32768,100000
108,naive,fixed,libre,,20261024,1,1,0,,0
109,naive,fixed,libre,,20261025,1,1,0,,0
110,batched,fixed,libre,,20261026,20000,1,0,,0
111,interleaved,interleaved,E,19,20261027,20000,100,10,,0
112,batched,fixed,libre,,20261028,20000,1,0,,0
113,interleaved,interleaved,E,19,20261029,20000,100,10,,0
114,naive,fixed,libre,,20261030,1,1,0,,0
115,interleaved,interleaved,libre,,20261031,20000,100,10,,0
116,batched,fixed,libre,,20261032,20000,1,0,,0
117,interleaved,interleaved,LP-E,21,20261033,20000,100,10,,0
118,naive,fixed,libre,,20261034,1,1,0,,0
119,batched,fixed,libre,,20261035,20000,1,0,,0
120,interleaved,interleaved,E,19,20261036,20000,100,10,,0
121,interleaved,interleaved,E,19,20261037,20000,100,10,,0
122,amortization,amortization,libre,,20261038,,40,0,32768,100000
123,interleaved,interleaved,LP-E,21,20261039,20000,100,10,,0
124,amortization,amortization,libre,,20261040,,40,0,32768,100000
125,interleaved,interleaved,P,11,20261041,20000,100,10,,0
126,amortization,amortization,libre,,20261042,,40,0,32768,100000
127,batched,fixed,libre,,20261043,20000,1,0,,0
128,interleaved,interleaved,P,11,20261044,20000,100,10,,0
129,interleaved,interleaved,libre,,20261045,20000,100,10,,0
130,interleaved,interleaved,P,11,20261046,20000,100,10,,0
131,interleaved,interleaved,libre,,20261047,20000,100,10,,0
132,amortization,amortization,libre,,20261048,,40,0,32768,100000
133,interleaved,interleaved,P,11,20261049,20000,100,10,,0
134,naive,fixed,libre,,20261050,1,1,0,,0
135,interleaved,interleaved,libre,,20261051,20000,100,10,,0
136,interleaved,interleaved,libre,,20261052,20000,100,10,,0
137,batched,fixed,libre,,20261053,20000,1,0,,0
138,interleaved,interleaved,P,11,20261054,20000,100,10,,0
139,naive,fixed,libre,,20261055,1,1,0,,0
140,interleaved,interleaved,P,11,20261056,20000,100,10,,0
141,naive,fixed,libre,,20261057,1,1,0,,0
142,batched,fixed,libre,,20261058,20000,1,0,,0
143,naive,fixed,libre,,20261059,1,1,0,,0
144,interleaved,interleaved,E,19,20261060,20000,100,10,,0
145,interleaved,interleaved,LP-E,21,20261061,20000,100,10,,0
146,interleaved,interleaved,E,19,20261062,20000,100,10,,0
147,interleaved,interleaved,LP-E,21,20261063,20000,100,10,,0
148,interleaved,interleaved,P,11,20261064,20000,100,10,,0
149,interleaved,interleaved,libre,,20261065,20000,100,10,,0
150,interleaved,interleaved,E,19,20261066,20000,100,10,,0
151,interleaved,interleaved,libre,,20261067,20000,100,10,,0
152,batched,fixed,libre,,20261068,20000,1,0,,0
153,interleaved,interleaved,libre,,20261069,20000,100,10,,0
154,interleaved,interleaved,libre,,20261070,20000,100,10,,0
155,amortization,amortization,libre,,20261071,,40,0,32768,100000
